"","Bar","BURGLARY","BURGLARYHOUR","GRAND_LARCENY","GRAND_LARCENY_HOUR","RAPE","RAPEHOUR","FELONY_ASSAULT","FELONY_ASSAULT_HOUR","ROBBERY","ROBBERYHOUR","GRAND_LARCENY_OF_MOTOR_VEHICLE","GLMVHOUR","MURDER","MURDERHOUR"
"Occurrence","KAIA WINE BAR","0","0","2015-05-01 00:01:00","00","0","0","0","0","0","0","0","0","0","0"
"Occurrence","KAIA WINE BAR","0","0","2015-09-01 12:00:00","12","0","0","0","0","0","0","0","0","0","0"
"Occurrence","KAIA WINE BAR","0","0","2015-09-05 11:00:00","11","0","0","0","0","0","0","0","0","0","0"
"Occurrence","KAIA WINE BAR","0","0","2015-09-11 09:00:00","09","0","0","0","0","0","0","0","0","0","0"
"Occurrence","KAIA WINE BAR","0","0","2015-09-21 12:00:00","12","0","0","0","0","0","0","0","0","0","0"
"Occurrence","E'S BAR","0","0","0","0","0","0","0","0","2015-04-29 12:10:00","12","0","0","0","0"
"Occurrence","E'S BAR","0","0","2015-06-22 23:30:00","23","0","0","0","0","0","0","0","0","0","0"
"Occurrence","HARLEM TAVERN","0","0","2015-05-04 13:00:00","13","0","0","0","0","0","0","0","0","0","0"
"Occurrence","HARLEM TAVERN","0","0","2015-05-25 03:30:00","03","0","0","0","0","0","0","0","0","0","0"
"Occurrence","HARLEM TAVERN","0","0","0","0","0","0","0","0","2015-05-25 17:06:00","17","0","0","0","0"
"Occurrence","HARLEM TAVERN","0","0","0","0","0","0","0","0","2015-05-28 02:00:00","02","0","0","0","0"
"Occurrence","HARLEM TAVERN","0","0","0","0","0","0","0","0","2015-08-22 02:00:00","02","0","0","0","0"
"Occurrence","HARLEM TAVERN","0","0","2015-09-14 21:00:00","21","0","0","0","0","0","0","0","0","0","0"
"Occurrence","STOUT NYC","0","0","2015-09-29 11:50:00","11","0","0","0","0","0","0","0","0","0","0"
"Occurrence","HUNTER'S","0","0","0","0","0","0","2015-06-19 01:11:00","01","0","0","0","0","0","0"
"Occurrence","HUNTER'S","0","0","0","0","0","0","2015-06-19 01:35:00","01","0","0","0","0","0","0"
"Occurrence","NEW THRIVING RESTAURANT","0","0","0","0","0","0","0","0","0","0","2015-03-18 18:45:00","18","0","0"
