"License.Serial.Number","License.Type.Name","License.Class.Code","License.Type.Code","Agency.Zone.Office.Name","Agency.Zone.Office.Number","County.Name..Licensee.","Premises.Name","Doing.Business.As..DBA.","Actual.Address.of.Premises..Address1.","Additional.Address.Information..Address2.","City","State","Zip","License.Certificate.Number","License.Original.Issue.Date","License.Effective.Date","License.Expiration.Date","Latitude","Longitude","Location"
1275754,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","TEMPO LIBERO BAR CORP","","88-08 ROOSEVELT AVE","1ST FLOOR","JACKSON HEIGHTS","NY",11372,810622,"03/25/2014","03/25/2014","02/28/2016",40.74824794,-73.87744489,"(40.74824794, -73.87744489)"
1275736,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","DE HOOP CORP","KAIA WINE BAR","1614 3RD AVE","","NEW YORK","NY",10128,810757,"04/17/2014","04/17/2014","03/31/2016",40.78174783,-73.95181593,"(40.78174783, -73.95181593)"
1275724,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","LA VUE CATERING INC","LA VUE","3202 EMMONS AVE","","BROOKLYN","NY",11235,811041,"06/12/2014","06/12/2014","05/31/2016",40.58405477,-73.93285463,"(40.58405477, -73.93285463)"
1275723,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","KQT LLC","CO BA 53","401 W 53RD ST","","NEW YORK","NY",10019,810952,"05/28/2014","05/28/2014","04/30/2016",40.76536845,-73.98761126,"(40.76536845, -73.98761126)"
1026784,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","THREE & SEVENTY THREE GOURMET LTD","BBQ","203 E 72ND STREET","AKA 1265 3RD AVENUE","NEW YORK","NY",10021,842615,"01/09/1990","01/01/2015","12/31/2016",40.76977379,-73.96052131,"(40.76977379, -73.96052131)"
1273191,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","ELEVATED 959 LLC","PULLMAN KITCHEN","959 2ND AVE","","NEW YORK","NY",10022,852832,"10/25/2013","10/01/2015","09/30/2017",40.75541236,-73.96812753,"(40.75541236, -73.96812753)"
1275703,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"RICHMOND","ANNADALE TERRACE CORP","","801 ANNADALE RD","","STATEN ISLAND","NY",10312,810970,"05/30/2014","05/30/2014","04/30/2016",40.54234942,-74.17741362,"(40.54234942, -74.17741362)"
1271483,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","BLEACHERS 67 INC","","6714 FOREST AVE","1ST FL","RIDGEWOOD","NY",11385,810386,"01/31/2014","01/31/2014","12/31/2015",40.70409011,-73.90173083,"(40.70409011, -73.90173083)"
1182706,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","PAESANO REST CORP","PAESANO OF MULBERRY STREET","136 MULBERRY ST","GRAND ST & HESTER ST","NEW YORK","NY",10013,831665,"04/02/2007","05/19/2015","03/31/2017",40.71844002,-73.99764703,"(40.71844002, -73.99764703)"
1275686,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","EE BAR LLC","E'S BAR","511 AMSTERDAM AVE","","NEW YORK","NY",10024,789405,"04/10/2014","10/29/2014","03/31/2016",40.78671415,-73.9757084,"(40.78671415, -73.9757084)"
1200708,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","JASPER HOSPITALITY LLC","THE EAST END BAR & GRILL","1664 1ST AVE","","NEW YORK","NY",10028,855963,"01/29/2008","01/01/2016","12/31/2017",40.77742504,-73.94895587,"(40.77742504, -73.94895587)"
1247775,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","ABURIYA CORP","ABURIYA KINNOSUKE","213 E 45TH STREET","","NEW YORK","NY",10017,842727,"01/03/2011","01/01/2015","12/31/2016",40.75259389,-73.97266607,"(40.75259389, -73.97266607)"
1247781,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"BRONX","BUDDA ASIAN & ITALIAN CUISINE CORP","","1353 EDWARD L GRANT HIGHWAY","","BRONX","NY",10452,851012,"08/23/2011","08/01/2015","07/31/2017",40.84019339,-73.92158055,"(40.84019339, -73.92158055)"
1227260,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"BRONX","LA COCINA BORICUA INC.","","2245B WESTCHESTER AVE","","BRONX","NY",10462,856124,"01/19/2010","01/01/2016","12/31/2017",40.83433714,-73.85025632,"(40.83433714, -73.85025632)"
1275640,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","TACOMBI HOLDING NA LLC","CAFE EL PRESIDENTE","30 W 24TH ST","","NEW YORK","NY",10010,810783,"04/24/2014","04/24/2014","03/31/2016",40.74267992,-73.99022235,"(40.74267992, -73.99022235)"
1275631,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","WINESOCIAL LLC","THE CAMLIN","175 KENT AVE","","BROOKLYN","NY",11211,831064,"01/16/2015","01/16/2015","12/31/2016",40.71828278,-73.96391394,"(40.71828278, -73.96391394)"
1275628,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","CRAB ADDISON INC","JOES CRAB SHACK","92-50 59TH AVE","","ELMHURST","NY",11373,845583,"12/11/2014","12/11/2014","11/30/2016",40.73427515,-73.86895556,"(40.73427515, -73.86895556)"
1275618,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","FIGARO VILLAGGIO INC","LA ESQUINA BAR & GRILL","344 E 6TH ST","","NEW YORK","NY",10003,846232,"02/07/2014","07/16/2015","01/31/2016",40.72694717,-73.98746455,"(40.72694717, -73.98746455)"
1247869,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","HUDSON FULTON CORPORATION","INDIAN ROAD CAFE & MARKET","600 W 218TH ST","","NEW YORK","NY",10034,841602,"12/09/2010","12/01/2014","11/30/2016",40.87246301,-73.91724773,"(40.87246301, -73.91724773)"
1148202,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","WINNERS BAR INC","","82 67 BROADWAY","WHITNEY AVE & ELMHURST AVE","ELMHURST","NY",11373,835592,"07/14/2004","07/01/2014","06/30/2016",40.74184762,-73.88091191,"(40.74184762, -73.88091191)"
1247884,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","17 MURRAY REST CORP","DARK HORSE","17 MURRAY STREET","","NEW YORK","NY",10038,848114,"04/06/2011","04/01/2015","03/31/2017",40.71351682,-74.00809313,"(40.71351682, -74.00809313)"
1275577,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","NEW ORIENTAL GUYANA RESTAURANT INC","","115-22 LIBERTY AVE","","RICHMOND HILL","NY",11419,855948,"01/17/2014","01/01/2016","12/31/2017",40.68579923,-73.82702688,"(40.68579923, -73.82702688)"
1275555,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","FIFTYONE MERCHANTS LLC","VIA CAROTA","49 GROVE ST","STORE 1 2 3","NEW YORK","NY",10014,811164,"07/09/2014","07/09/2014","06/30/2016",40.73292478,-74.0039476,"(40.73292478, -74.0039476)"
1275554,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","ELLA HOSPITALITY LLC","MEADOWSWEET","149 BROADWAY","","BROOKLYN","NY",11211,811320,"06/06/2014","08/08/2014","05/31/2016",40.71029748,-73.96336135,"(40.71029748, -73.96336135)"
1026624,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","DRITON LLC","NINO'S RISTORANTE","1354 1ST AVENUE","","NEW YORK","NY",10021,843194,"02/03/1998","02/01/2015","01/31/2017",40.76824408,-73.95557637,"(40.76824408, -73.95557637)"
1148226,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","WOGIE'S INC","","39 GREENWICH AVENUE","CHARLES & PERRY STREETS","NEW YORK","NY",10014,834644,"05/04/2004","05/01/2014","04/30/2016",40.73528702,-74.00040725,"(40.73528702, -74.00040725)"
1148229,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","363 WEST 46TH STREET TAVERN INC","","363 W 46TH ST","8TH AVENUE & 9TH AVENUE","NEW YORK","NY",10036,803629,"04/12/2004","04/01/2014","03/31/2016",40.76058234,-73.98965019,"(40.76058234, -73.98965019)"
1247956,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","SOHA 116 RESTAURANT CORP","HARLEM TAVERN","301 W 116TH ST AKA 2153 8TH AV","","NEW YORK","NY",10027,846608,"06/30/2011","06/01/2015","05/31/2017",40.80448532,-73.95536214,"(40.80448532, -73.95536214)"
1247960,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","MIKNIC LLC","40KNOTS","200 COLUMBIA ST","","BROOKLYN","NY",11231,842235,"12/02/2010","12/01/2014","11/30/2016",40.6852225,-74.00260809,"(40.6852225, -74.00260809)"
1200248,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","SUPER GOURMET FOOD CORP","THUNDER JACKSONS","169 BLEECKER ST","","NEW YORK","NY",10012,802557,"03/05/2008","03/01/2014","02/29/2016",40.72883054,-74.00036771,"(40.72883054, -74.00036771)"
1148524,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","IFETA CORP","DIWINE","4115 31ST AVE","","ASTORIA","NY",11106,802644,"03/26/2004","03/01/2014","02/29/2016",40.76093284,-73.9161226,"(40.76093284, -73.9161226)"
1275456,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","VIENNA 2 INC","WERKSTATT","509 CONEY ISLAND AVE","","BROOKLYN","NY",11218,831262,"03/09/2015","03/09/2015","02/28/2017",40.64529972,-73.97047203,"(40.64529972, -73.97047203)"
1283628,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","SAIGON CAF? 89 INC","","612 AMSTERDAM AVE","","NEW YORK","NY",10024,831400,"04/07/2015","04/07/2015","03/31/2017",40.79005,-73.97336,"(40.79005, -73.97336)"
1255421,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","NATALIA BAR CORP","NATALIAS BAR","62 10 39TH AVE","","WOODSIDE","NY",11377,854242,"12/06/2011","12/01/2015","11/30/2017",40.74683371,-73.9015362,"(40.74683371, -73.9015362)"
1275414,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","STOUT II INC","STOUT NYC","90 JOHN ST","","NEW YORK","NY",10038,810701,"04/09/2014","04/09/2014","03/31/2016",40.70822257,-74.00650859,"(40.70822257, -74.00650859)"
1026729,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","POST HOUSE INVESTORS LP","POST HOUSE","28 E 63RD STREET","","NEW YORK","NY",10021,851227,"09/19/1993","09/01/2015","08/31/2017",40.76587429,-73.96913572,"(40.76587429, -73.96913572)"
1131102,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","475 SOHO LLC","DOS CAMINOS SOHO","475 477 W BROADWAY","","NEW YORK","NY",10012,842099,"12/19/2002","12/01/2014","11/30/2016",40.72663744,-74.00005664,"(40.72663744, -74.00005664)"
1266869,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","JJT HOSPITALITY LLC","HUNTER'S","213 SMITH ST","","BROOKLYN","NY",11201,839190,"12/18/2012","11/01/2014","10/31/2016",40.68456783,-73.99192705,"(40.68456783, -73.99192705)"
1248128,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","LUCKY SEVEN RESTAURANT & BAR LLC","","1447 1457 ST NICHOLAS AVENUE","","NEW YORK","NY",10033,850218,"07/12/2011","07/01/2015","06/30/2017",40.85045728,-73.93296985,"(40.85045728, -73.93296985)"
1243810,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","JUNE SING RESTAURANT INC","NEW THRIVING RESTAURANT","120 12 LIBERTY AVE","120TH & 121ST STREET","S RICHMOND HILL","NY",11419,848074,"05/13/2011","05/01/2015","04/30/2017",40.68660028,-73.82308915,"(40.68660028, -73.82308915)"
