"License.Se","License.Ty","License.Cl","License._1","Agency.Zon","Agency.Z_1","County.Nam","Premises.N","Doing.Busi","Actual.Add","Additional","City","State","Zip","License.Ce","License.Or","License.Ef","License.Ex","Latitude","Longitude","Location","BoroCode","BoroName","CountyFIPS","NTACode","NTAName","Shape_Leng","Shape_Area","coords.x1","coords.x2"
1275754,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","TEMPO LIBERO BAR CORP",NA,"88-08 ROOSEVELT AVE","1ST FLOOR","JACKSON HEIGHTS","NY",11372,810622,"03/25/2014","03/25/2014","02/28/2016",40.74824794,-73.87744489,"(40.74824794, -73.87744489)",4,"Queens","081","QN29","Elmhurst",36711.470787,32675598.9,1018207.57803692,211907.309419122
1275736,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","DE HOOP CORP","KAIA WINE BAR","1614 3RD AVE",NA,"NEW YORK","NY",10128,810757,"04/17/2014","04/17/2014","03/31/2016",40.78174783,-73.95181593,"(40.78174783, -73.95181593)",1,"Manhattan","061","MN32","Yorkville",17409.2098543,13594779.6826,997594.135412545,224092.340843382
1275724,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","LA VUE CATERING INC","LA VUE","3202 EMMONS AVE",NA,"BROOKLYN","NY",11235,811041,"06/12/2014","06/12/2014","05/31/2016",40.58405477,-73.93285463,"(40.58405477, -73.93285463)",3,"Brooklyn","047","BK17","Sheepshead Bay-Gerritsen Beach-Manhattan Beach",91048.3498153,63342329.8713,1002900.50146484,152070.477001083
1275723,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","KQT LLC","CO BA 53","401 W 53RD ST",NA,"NEW YORK","NY",10019,810952,"05/28/2014","05/28/2014","04/30/2016",40.76536845,-73.98761126,"(40.76536845, -73.98761126)",1,"Manhattan","061","MN15","Clinton",35037.1715797,18381380.2263,987681.79184397,218121.35697282
1026784,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","THREE & SEVENTY THREE GOURMET LTD","BBQ","203 E 72ND STREET","AKA 1265 3RD AVENUE","NEW YORK","NY",10021,842615,"01/09/1990","01/01/2015","12/31/2016",40.76977379,-73.96052131,"(40.76977379, -73.96052131)",1,"Manhattan","061","MN31","Lenox Hill-Roosevelt Island",37708.4443316,21501564.9178,995185.226728603,219728.589863789
1273191,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","ELEVATED 959 LLC","PULLMAN KITCHEN","959 2ND AVE",NA,"NEW YORK","NY",10022,852832,"10/25/2013","10/01/2015","09/30/2017",40.75541236,-73.96812753,"(40.75541236, -73.96812753)",1,"Manhattan","061","MN19","Turtle Bay-East Midtown",21638.7812063,17397872.2036,993080.279056914,214495.390965799
1275703,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"RICHMOND","ANNADALE TERRACE CORP",NA,"801 ANNADALE RD",NA,"STATEN ISLAND","NY",10312,810970,"05/30/2014","05/30/2014","04/30/2016",40.54234942,-74.17741362,"(40.54234942, -74.17741362)",5,"Staten Island","085","SI01","Annadale-Huguenot-Prince's Bay-Eltingville",71279.2844803,140798787.656,934940.310637963,136918.98716855
1271483,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","BLEACHERS 67 INC",NA,"6714 FOREST AVE","1ST FL","RIDGEWOOD","NY",11385,810386,"01/31/2014","01/31/2014","12/31/2015",40.70409011,-73.90173083,"(40.70409011, -73.90173083)",4,"Queens","081","QN20","Ridgewood",40645.3858295,50505245.357,1011496.47940329,195810.770998829
1182706,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","PAESANO REST CORP","PAESANO OF MULBERRY STREET","136 MULBERRY ST","GRAND ST & HESTER ST","NEW YORK","NY",10013,831665,"04/02/2007","05/19/2015","03/31/2017",40.71844002,-73.99764703,"(40.71844002, -73.99764703)",1,"Manhattan","061","MN24","SoHo-TriBeCa-Civic Center-Little Italy",24277.7598984,24861793.073,984902.253008818,201023.603441243
1275686,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","EE BAR LLC","E'S BAR","511 AMSTERDAM AVE",NA,"NEW YORK","NY",10024,789405,"04/10/2014","10/29/2014","03/31/2016",40.78671415,-73.9757084,"(40.78671415, -73.9757084)",1,"Manhattan","061","MN12","Upper West Side",29158.1325969,34381053.1183,990976.833887362,225899.003063211
1200708,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","JASPER HOSPITALITY LLC","THE EAST END BAR & GRILL","1664 1ST AVE",NA,"NEW YORK","NY",10028,855963,"01/29/2008","01/01/2016","12/31/2017",40.77742504,-73.94895587,"(40.77742504, -73.94895587)",1,"Manhattan","061","MN32","Yorkville",17409.2098543,13594779.6826,998387.120399334,222517.851179403
1247775,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","ABURIYA CORP","ABURIYA KINNOSUKE","213 E 45TH STREET",NA,"NEW YORK","NY",10017,842727,"01/03/2011","01/01/2015","12/31/2016",40.75259389,-73.97266607,"(40.75259389, -73.97266607)",1,"Manhattan","061","MN19","Turtle Bay-East Midtown",21638.7812063,17397872.2036,991823.195415537,213468.106070917
1247781,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"BRONX","BUDDA ASIAN & ITALIAN CUISINE CORP",NA,"1353 EDWARD L GRANT HIGHWAY",NA,"BRONX","NY",10452,851012,"08/23/2011","08/01/2015","07/31/2017",40.84019339,-73.92158055,"(40.84019339, -73.92158055)",2,"Bronx","005","BX26","Highbridge",18507.4240595,16457230.6256,1005948.48146581,245392.182861192
1227260,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"BRONX","LA COCINA BORICUA INC.",NA,"2245B WESTCHESTER AVE",NA,"BRONX","NY",10462,856124,"01/19/2010","01/01/2016","12/31/2017",40.83433714,-73.85025632,"(40.83433714, -73.85025632)",2,"Bronx","005","BX59","Westchester-Unionport",26557.4090987,23945209.6251,1025687.36460994,243284.238304837
1275640,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","TACOMBI HOLDING NA LLC","CAFE EL PRESIDENTE","30 W 24TH ST",NA,"NEW YORK","NY",10010,810783,"04/24/2014","04/24/2014","03/31/2016",40.74267992,-73.99022235,"(40.74267992, -73.99022235)",1,"Manhattan","061","MN13","Hudson Yards-Chelsea-Flatiron-Union Square",45454.7229508,37029727.2943,986959.419225371,209855.098282236
1275631,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","WINESOCIAL LLC","THE CAMLIN","175 KENT AVE",NA,"BROOKLYN","NY",11211,831064,"01/16/2015","01/16/2015","12/31/2016",40.71828278,-73.96391394,"(40.71828278, -73.96391394)",3,"Brooklyn","047","BK73","North Side-South Side",28145.4293281,28868408.4513,994253.228293531,200968.367771752
